IndicatorCode,IndicatorName,Language,Category
WHS4_106,Care-seeking for children with symptoms of acute respiratory infection (%),EN,WHS4
WHS4_111,Antenatal care coverage - at least one visit (%),EN,WHS4
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),EN,TOTENV
TOTENV_9,Total environment attributable DALYs ('000) in children under 5 years,EN,TOTENV
TOBACCO_0000000505,Year of survey of youth,EN,TOBACCO
SA_0000001820,"Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)",EN,SA
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,EN,UHC
SA_0000001810,National system of data collection based on health service delivery,EN,SA
WHS3_47,Meningitis - number of reported cases,EN,WHS3
WHS3_51,H5N1 influenza - number of reported cases,EN,WHS3
WHS3_55,Congenital Rubella Syndrome - number of reported cases,EN,WHS3
SA_0000001822_ARCHIVED,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,SA
SA_0000001825,"Regional prevalence, AAFs (15+), liver cirrhosis deaths (%)",EN,SA
SA_0000001828,"Regional prevalence, AAFs ,all-cause deaths (%)",EN,SA
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),EN,sba
UHC_DATA_AVAIL_CODE,Data availability for UHC index of essential service coverage (ranking),EN,UHC
SA_0000001813,National organization for monitoring alcohol,EN,SA
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,SA
WHS4_111_AGE1519,"Antenatal care coverage - at least one visit, among girls aged 15-19 (%)",EN,WHS4
SA_0000001794,Licensing required for exports of alcoholic beverages,EN,SA
SA_0000001800,Monopoly on exports of alcoholic beverages,EN,SA
UHC_HRHSURGEONDENSITY,Surgeons (per 100 000),EN,UHC
UHC_NCD_FPG,Mean fasting plasma glucose,EN,UHC
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access,EN,UHC
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",EN,UHC
SA_0000001826,"Regional prevalence, AAFs (15+), road traffic crash deaths (%)",EN,SA
SA_0000001831,Average price 500 mls Spirits in US$,EN,SA
WHS4_108,Children aged <5 years with ARI symptoms who took antibiotic treatment (%),EN,WHS4
WHS4_115,Births by caesarean section (%),EN,WHS4
WHS4_124,Children aged 6-59 months who received vitamin A supplementation (%),EN,WHS4
SA_0000001805,Health warning labels on drink-driving,EN,SA
SA_0000001808,"Alcohol-attributable fractions (15+), cancer deaths",EN,SA
SA_0000001812,Report with data from health services on alcohol use and AUDs,EN,SA
SA_0000001814,Taxation of ethanol production,EN,SA
SA_0000001816,Tax incentives for production low/no alcohol content beer,EN,SA
SA_0000001817,Tax incentives for production of other alcoholic beverages,EN,SA
SA_0000001819,Heavy episodic drinking (youth 15 -19 years) past 30 days (%),EN,SA
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),EN,WHS4
WHS6_140,Number of community health workers,EN,WHS6
WHS6_520,Density of environment and public health workers (per 10 000 population),EN,WHS6
UV_4,UV radiation attributable deaths per 100'000 capita,EN,UV
VIOLENCE_CHILD_NEGLECT,Lifetime prevalence of child physical neglect (%),EN,VIOLENCE
WHS4_543,BCG immunization coverage among 1-year-olds (%),EN,WHS4
TOTENV_1,Deaths attributable to the environment,EN,TOTENV
TOTENV_6,Disability-adjusted life years (DALYs) attributable to the environment (%),EN,TOTENV
TOTENV_70,Total environment attributable deaths in children under 5 years,EN,TOTENV
WHS6_123,Number of dentistry personnel,EN,WHS6
WHS6_127,Number of nursing and midwifery personnel,EN,WHS6
WHS6_150,Community health workers density (per 10 000 population),EN,WHS6
WHS6_517,Number of pharmaceutical personnel,EN,WHS6
WHS6_518,Number of environment and public health workers,EN,WHS6
TOTENV_8,Total environment  attributable deaths per 100'000 children under 5 years,EN,TOTENV
u5mr,Under-five mortality rate (deaths per 1000 live births),EN,u5mr
UHC_AVAILABILITY_SCORE,Primary data availability for UHC Service Coverage Index (SDG 3.8.1) (%),EN,UHC
UHC_IHR,Compliance with international health regulations,EN,UHC
UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases,EN,UHC
UHC_TB_DT,Tuberculosis detection and treatment,EN,UHC
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),EN,WHS4
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),EN,WHS4
WHS4_99,Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%),EN,WHS4
WHS6_100,Radiotherapy units (per 1 000 000 population),EN,WHS6
WHS6_102,Hospital beds (per 10 000 population),EN,WHS6
WHS6_148,Nursing and midwifery personnel density (per 10 000 population),EN,WHS6
WHS7_105,Per capita total expenditure on health (PPP int. $),EN,WHS7
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,EN,RSUD
RSUD_580,Prevention programmes for alcohol,EN,RSUD
RSUD_59,Buprenorphine provision in clinical and community-based settings,EN,RSUD
RSUD_63,Supervision requirements for buprenorphine/naloxone administration,EN,RSUD
RSUD_67,Commencement of treatment with opioid agonists,EN,RSUD
RSUD_69,Pharmacotherapy used for the management of benzodiazepine withdrawal,EN,RSUD
RSUD_7,Psychoactive substance causing entry into treatment,EN,RSUD
RSUD_700,Employment services for alcohol use disorders,EN,RSUD
TOBACCO_0000000361,Access to a toll-free quit line,EN,TOBACCO
TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,EN,TOBACCO
TOBACCO_0000000366,Smoking cessation support is available in other settings,EN,TOBACCO
TOBACCO_0000000367,Nicotine replacement therapy - legally sold,EN,TOBACCO
TOBACCO_0000000368,Nicotine replacement therapy - place available,EN,TOBACCO
TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,EN,TOBACCO
SA_0000001786_ARCHIVED,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",EN,SA
SA_0000001790,National drinking guidelines,EN,SA
SA_0000001791,Graduated licensing,EN,SA
SA_0000001793,"Penalties for drink driving, repeated offense",EN,SA
SA_0000001795,Licensing required for imports of alcoholic beverages,EN,SA
SA_0000001797,"Licenses issued for production, change since 2010",EN,SA
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,EN,SA
SA_0000001806,Legal requirement for size of health warning labels,EN,SA
SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN,SA
SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",EN,SA
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,EN,WHS7
WHS7_120,External resources for health as a percentage of total expenditure on health,EN,WHS7
UNICEF_PNCMOTHER,Women age 15-49 years who received a health check within 2 days after delivery of their most recent live birth in the last 2 years (%),EN,UNICEF
UV_2,UV radiation attributable deaths,EN,UV
VIOLENCE_EXTENTIMP_VICTIMSMEDICOLEGAL,Extent of implementation of medico-legal services for victims of sexual violence,EN,VIOLENCE
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS,Youth violence: Extent of implementation of life-skills and social development programmes,EN,VIOLENCE
WHS6_519,Density of pharmaceutical personnel (per 10 000 population),EN,WHS6
WHS7_113,General government expenditure on health as a percentage of total government expenditure,EN,WHS7
WHS7_143,Total expenditure on health as a percentage of gross domestic product,EN,WHS7
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",EN,SDG
SDG_SH_STA_SCIDEN,Number of suicide deaths,EN,SDG
WHS7_147,Private expenditure on health as a percentage of total expenditure on health,EN,WHS7
WHS9_85,Literacy rate among adults aged >= 15 years (%),EN,WHS9
VIOLENCE_HOMICIDENUM,Estimates of number of homicides,EN,VIOLENCE
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,EN,VIOLENCE
W1_HW_law_A,Law mandates that health warnings appear on tobacco packages,EN,W1
WHS7_134,Social security expenditure on health as a percentage of general government expenditure on health,EN,WHS7
WHS7_139,Out-of-pocket expenditure as a percentage of private expenditure on health,EN,WHS7
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),EN,WHS8
WHS9_91,Civil registration coverage of births (%),EN,WHS9
W-MM_Group,Anti-tobacco mass media campaigns,EN,W-MM
WSH_20,"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene",EN,WSH
WSH_20_HYG,Attributable fraction of diarrhoea to inadequate hygiene,EN,WSH
WHS9_89,Population proportion under 15 (%),EN,WHS9
WHS9_90,Population living on <$1 (PPP int. $) a day (%),EN,WHS9
WHS9_92,Population proportion over 60 (%),EN,WHS9
WHS9_93,Gross national income per capita (PPP int. $),EN,WHS9
WHS9_96,Population living in urban areas (%),EN,WHS9
WSH_20_WAT,Attributable fraction of diarrhoea to inadequate water,EN,WSH
WSH_30,"Number of diarrhoea DALYs from inadequate water, sanitation and hygiene",EN,WSH
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),EN,SDGAIRBOD
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),EN,SDGDISASTER
SDGHEPHBSAGPRV,Hepatitis B surface antigen (HBsAg) prevalence (%),EN,SDGHEPHBSAGPRV
VIOLENCE_EXTENTIMP_ALLTYPES,Extent of implementation of  mental health services for victims of all types of violence,EN,VIOLENCE
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),EN,SDGHPVRECEIVED
SDGIHR,Average of 13 International Health Regulations core capacity scores,EN,SDGIHR
SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,EN,SDGNTDTREATMENT
SDGODA,"Total net official development assistance to medical research and basic health sectors per capita (constant 2014 US$), by recipient",EN,SDGODA
SDGSUICIDE,Crude suicide rates (per 100 000 population),EN,SDGSUICIDE
VIOLENCE_PHYSICAL_FIGHTING,"Physical fighting, past 12 months (%)",EN,VIOLENCE
W_Group,Warning about the dangers of tobacco,EN,W
W10_graphic_B,Do the health warnings on other smoked tobacco packaging include a photograph or graphic?,EN,W10
W10_graphic_C,Do the health warnings on smokeless tobacco packaging include a photograph or graphic?,EN,W10
W11_outside_pack_C,Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?,EN,W11
WHS2_161,Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular,EN,WHS2
WHS2_171,Distribution of causes of death among children aged <5 years (%) - Other diseases,EN,WHS2
WHS2_515,Distribution of causes of death among children aged <5 years (%) - Neonatal sepsis,EN,WHS2
WHS2_516,Distribution of causes of death among children aged <5 years (%) - Congenital anomalies,EN,WHS2
WHS2_523,Distribution of causes of death among children aged <5 years (%) - Birth asphyxia,EN,WHS2
WHS3_42,Japanese encephalitis - number of reported cases,EN,WHS3
WHS3_45,Number of new leprosy cases,EN,WHS3
WHS3_49,Poliomyelitis - number of reported cases,EN,WHS3
WHS3_522,Number of reported cases of tuberculosis,EN,WHS3
WHS3_53,Mumps - number of reported cases,EN,WHS3
TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,EN,TOBACCO
TOTENV_11,Deaths attributable to the environment in children under 5 years (%),EN,TOTENV
TOTENV_5,Deaths attributable to the environment (%),EN,TOTENV
UHC_INDEX_ACTUAL,Index of Essential Service Coverage (Actual),EN,UHC
WHS4_107,Children aged <5 years with diarrhoea receiving ORT (%),EN,WHS4
WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),EN,WHS4
WHS4_154,Antenatal care coverage - at least four visits (%),EN,WHS4
WHS5_512,Population using solid fuels (%),EN,WHS5
WHS6_101,Median availability of selected generic medicines (%) - Private,EN,WHS6
WHS6_116,Median consumer price ratio of selected generic medicines - Private,EN,WHS6
WHS6_144,Dentistry personnel density (per 10 000 population),EN,WHS6
SA_0000001811,Report with epidemiological data on lcohol use and AUDs,EN,SA
SA_0000001815,Ethanol tax deducted from excise tax,EN,SA
SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",EN,SA
SA_0000001821_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,SA
SA_0000001823_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)",EN,SA
SA_0000001824,"Alcohol, regional alcohol per capita (15+) consumption (in litres of pure alcohol)",EN,SA
SA_0000001827,"Regional prevalence, AAFs (15+), cancer",EN,SA
SA_0000001829,Average price 500 mls Beer in US$,EN,SA
SA_0000001830,Average price 750 mls Wine in US$,EN,SA
W12_imports_dutyfree_B,Health warnings on other smoked tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale,EN,W12
SDGTOBACCO,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,EN,SDGTOBACCO
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),EN,SDGWSHBOD
SE_G23_RDG,Proportion of children in grades 2/3 achieving at least a minimum proficiency level in reading (%),EN,SE
SE_PRM_MATH,Proportion of children at the end of primary achieving at least a minimum proficiency level in mathematics (%),EN,SE
SE_PRM_RDNG,Proportion of children at the end of primary achieving at least a minimum proficiency level in reading (%),EN,SE
W10_graphic_A,Do the health warnings on cigarette packaging include a photograph or graphic?,EN,W10
W11_outside_pack_B,Do health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale?,EN,W11
W12_imports_dutyfree_A,Health warnings on cigarette packaging law applys to products whether manufactured domestically imported AND for duty-free sale,EN,W12
W13_ind_liability_A,Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco industry,EN,W13
W13_ind_liability_B,Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tobacco industry,EN,W13
SE_LSC_RDNG,Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading (%),EN,SE
SHS_10,Second-hand smoke attributable DALYs ('000) in children under 5 years,EN,SHS
SHS_11,Second-hand smoke  attributable DALYs per 100'000 children under 5 years,EN,SHS
SHS_5,Second-hand smoke attributable DALYs ('000),EN,SHS
SHS_7,Second-hand smoke attributable DALYs per 100'000 capita,EN,SHS
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),EN,sba5
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),EN,UHC
UHC_NCD_NONELEVBP,Prevalence of non-elevated blood pressure (%),EN,UHC
UHC_TOBACCONO,Prevalence of non-use of tobacco,EN,UHC
UNICEF_ORS,Children aged <5 years with diarrhoea receiving ORS (%),EN,UNICEF
UNICEF_PNCNEWBORN,Proportion of newborns who have postnatal contact with a health provider within 2 days of delivery (%),EN,UNICEF
UV_3,UV radiation attributable DALYs ('000),EN,UV
UV_5,UV radiation attributable DALYs per 100'000 capita,EN,UV
VIOLENCE_CHILD_EMOTIONAL,Lifetime prevalence of child emotional abuse (%),EN,VIOLENCE
VIOLENCE_CHILD_PHYSICAL,Lifetime prevalence of child physical abuse (%),EN,VIOLENCE
VIOLENCE_CHILD_SEXUAL,Lifetime prevalence of child sexual abuse (%),EN,VIOLENCE
VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,Child maltreatment: Extent of implementation of home-visiting programmes,EN,VIOLENCE
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),EN,WHS7
WHS7_108,Per capita government expenditure on health (PPP int. $),EN,WHS7
WHS7_149,General government expenditure on health as a percentage of total expenditure on health,EN,WHS7
WHS7_150,Out-of-pocket expenditure as a percentage of total expenditure on health,EN,WHS7
WHS7_156,Per capita total expenditure on health at average exchange rate (US$),EN,WHS7
WHS9_86,Population (in thousands) total,EN,WHS9
WSH_10,"Number of diarrhoea deaths from inadequate water, sanitation and hygiene",EN,WSH
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",EN,SDGAIRBODA
SDGCONFLICT,Estimated direct deaths from major conflicts (per 100 000 population),EN,SDGCONFLICT
SDGHIV,New HIV infections (per 1000 uninfected population),EN,SDGHIV
SDGMALARIA,Malaria incidence (per 1 000 population at risk),EN,SDGMALARIA
SDGOOP,Out-of-pocket expenditure as a percentage of total expenditure on health,EN,SDGOOP
SDGPM25,Concentrations of fine particulate matter (PM2.5),EN,SDGPM25
SHS_2,Percentage of women (15+ years) exposed to second-hand smoke,EN,SHS
SHS_3,Percentage of men (15+ years) exposed to second-hand smoke,EN,SHS
SHS_4,Second-hand smoke attributable deaths,EN,SHS
SHS_6,Second-hand smoke attributable deaths per 100'000 capita,EN,SHS
SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union by age 18 (%),EN,SP
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",EN,SE
stunt3,Stunting prevalence in children aged < 3 years (%),EN,stunt3
stunt5,Stunting prevalence in children aged < 5 years (%),EN,stunt5
TB_1,Tuberculosis treatment coverage,EN,TB
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),EN,TB
TB_c_lab_cul_5m,Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),EN,TB
SUNBEDEXISTYEAR,Year of national implementation of regulation,EN,SUNBEDEXISTYEAR
SUNBEDREG_ACCESS,Access restrictions,EN,SUNBEDREG
SUNBEDREG_INFO,Information requirements,EN,SUNBEDREG
SUNBEDREG_TRAINING,Training requirements,EN,SUNBEDREG
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),EN,TB
TB_c_new_tsr,Treatment success rate: new TB cases,EN,TB
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,EN,TB
W11_outside_pack_A,Do health warnings appear on each cigarette package and any outside packaging and labelling used in the retail sale?,EN,W11
SE_G23_MATH,Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics (%),EN,SE
SG_DMK_SRCR_FN_ZS,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (%)",EN,SG
SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority,EN,SG
SG_REG_CENSUS,Proportion of countries that have conducted at least one population and housing census in the last 10 years (%),EN,SG
SG_REG_CENSUSN,Number of countries that have conducted at least one population and housing census in the last 10 years,EN,SG
W14_harm_effects_A,Do health warnings on cigarette packaging describe the harmful effects of tobacco use on health?,EN,W14
W15_specific_hw_A,Does the law mandate specific health warnings on cigarette packaging?,EN,W15
W15_specific_hw_B,Does the law mandate specific health warnings on other smoked tobacco packaging?,EN,W15
W17_fines_A,Health warnings on cigarette packaging law requires or establishes fines for violations,EN,W17
SI_POV_DAY1,Proportion of population below the international poverty line of US$1.90 per day (%),EN,SI
SUNBEDEXISTSUBNATIONAL,Existence of subnational regulation,EN,SUNBEDEXISTSUBNATIONAL
SUNBEDREG_CONTROL,Restriction and inspection of facilities,EN,SUNBEDREG
TB_c_lab_dst_5m,Laboratories providing drug susceptibility testing (DST) (per 5 million population),EN,TB
TB_c_mdr_tx,Cases started on MDR-TB treatment,EN,TB
TB_c_new_snep_tsr,Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases,EN,TB
TB_c_newinc,Tuberculosis - new and relapse cases,EN,TB
TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,EN,TB
WSH_30_SAN,Number of diarrhoea DALYs from inadequate sanitation,EN,WSH
WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),EN,WSH
WSH_SANITATION_OD,Population practising open defecation (%),EN,WSH
TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),EN,TB
WSH_2,"Water, sanitation and hygiene attributable deaths ('000) in children under 5 years",EN,WSH
SDGCODCOMPLETENESS,Completeness of cause-of-death data (%),EN,SDGCODCOMPLETENESS
SDGHIV1524,New HIV infections among adults 15-24 years old (per 1000 uninfected population),EN,SDGHIV1524
UV_1,UV radiation,EN,UV
uweight3,Underweight prevalence in children aged < 3 years (%),EN,uweight3
uweight5,Underweight prevalence in children aged < 5 years (%),EN,uweight5
VIOLENCE_BULLIED,"Bullied, past 30 days (%)",EN,VIOLENCE
VIOLENCE_EXTENTIMP_CHILDPROTECTION,Extent of implementation of child protection services,EN,VIOLENCE
VIOLENCE_EXTENTIMP_ELDERCAREGIVER,Elder abuse: Extent of implementation  of caregiver-support programmes,EN,VIOLENCE
VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION,Intimate partner violence: Extent of implementation  of dating violence prevention programmes,EN,VIOLENCE
vita,Children aged 6-59 months who received vitamin A supplementation (%),EN,vita
W1_HW_law_B,Law mandates that health warnings appear on other smoked tobacco packages,EN,W1
W1_HW_law_C,Law mandates that health warnings appear on smokeless tobacco packages,EN,W1
WHS9_87,Net primary school enrolment ratio (%),EN,WHS9
WHS9_88,Population median age (years),EN,WHS9
WHS9_94,Civil registration coverage of causes of deaths (%),EN,WHS9
WHS9_95,Total fertility rate (per woman),EN,WHS9
WHS9_CS,Cellular subscribers (per 100 population),EN,WHS9
WSH_1,SDG 3.9.2 WASH deaths,EN,WSH
WSH_10_HYG,Number of diarrhoea deaths from inadequate hygiene,EN,WSH
WSH_10_SAN,Number of diarrhoea deaths from inadequate sanitation,EN,WSH
WSH_10_WAT,Number of diarrhoea deaths from inadequate water,EN,WSH
WSH_20_SAN,Attributable fraction of diarrhoea to inadequate sanitation,EN,WSH
WSH_3,"Water, sanitation and hygiene attributable deaths per 100'000 capita",EN,WSH
WSH_30_HYG,Number of diarrhoea DALYs from inadequate hygiene,EN,WSH
SDGODA01,"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country",EN,SDGODA01
SDGODA02,"Official development assistance for medical research and basic health sectors as a percentage of GNI (%), by donor country",EN,SDGODA02
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),EN,SDGPOISON
SDGROADAGE,Age-standardized road traffic  mortality (per 100 000 population),EN,SDGROADAGE
SDGSHP,Skilled health professionals density (per 10 000 population),EN,SDGSHP
SE_LSC_MATH,Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics (%),EN,SE
SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age) (%),EN,SE
SH_STA_FGMS,Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting (FMG/C) (%),EN,SH
SHS_1,Percentage of children under 15 years exposed to second-hand smoke,EN,SHS
SHS_8,Second-hand smoke attributable deaths ('000) in children under 5 years,EN,SHS
SHS_9,Second-hand smoke  attributable deaths per 100'000 children under 5 years,EN,SHS
SI_POV_EMP1,Employed population below the international poverty line of US$1.90 per day (the working poor) (%),EN,SI
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),EN,SP
SUNBEDEXIST,Existence of national regulation,EN,SUNBEDEXIST
SUNBEDREG_SAFETY,Safety requirements,EN,SUNBEDREG
WSH_4,"Water, sanitation and hygiene  attributable deaths per 100'000 children under 5 years",EN,WSH
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),EN,WSH
W14_harm_effects_C,Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health?,EN,W14
W15_specific_hw_C,Does the law mandate specific health warnings on smokeless tobacco packaging?,EN,W15
W17_fines_C,Health warnings on smokeless tobacco packaging law requires or establishes fines for violations,EN,W17
W18_misleading_terms_A,Ban on deceitful terms on cigarette packaging,EN,W18
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,EN,W18
TB_e_inc_num,Number of incident tuberculosis cases,EN,TB
TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",EN,TB
W12_imports_dutyfree_C,Health warnings on smokeless tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale,EN,W12
W16_number_hw_A,How many health warnings are approved by the law for cigarette packaging?,EN,W16
W13_ind_liability_C,Health warnings on smokeless tobacco packaging do not remove or diminish the liability of the tobacco industry,EN,W13
W14_harm_effects_B,Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health?,EN,W14
W16_number_hw_B,How many health warnings are approved by the law for other smoked tobacco packaging?,EN,W16
W16_number_hw_C,How many health warnings are approved by the law for smokeless tobacco packaging?,EN,W16
TB_new_oth,New cases: other,EN,TB
TB_new_su,New cases: pulmonary smear unknown/not done,EN,TB
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),EN,TB
W18_misleading_terms_C,Ban on deceitful terms on smokeless tobacco packaging,EN,W18
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,EN,W19
W19_colours_numbers_C,Smokeless tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,EN,W19
TB_newret_oth,Treatment history unknown,EN,TB
TB_ret_rel_clindx,"Relapse cases: Pulmonary, clinically diagnosed",EN,TB
W20_flavours_A,Cigarette packaging and labelling must not use descriptors depicting flavours,EN,W20
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN,W21
TB_effective_treatment_coverage,Tuberculosis effective treatment coverage (%),EN,TB
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),EN,TB
TB_e_mdr_num,Estimated MDR-TB cases among notified pulmonary TB cases,EN,TB
TB_e_prev_num,Number of prevalent tuberculosis cases,EN,TB
TB_mdr,Confirmed cases of MDR-TB,EN,TB
TB_new_ep,New cases: extrapulmonary,EN,TB
TB_new_labconf,"New or unknown treatment history cases: Pulmonary, bacteriologically confirmed",EN,TB
TB_new_sn,New cases: pulmonary smear-negative,EN,TB
W24_exp_date_C,Smokeless tobacco packaging and labelling must not display expiry dates,EN,W24
W25_quitline_number_A,The quit line number must appear on cigarette packaging or labelling,EN,W25
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,EN,W25
TB_hivtest_pct,TB patients with known HIV status (%),EN,TB
TB_new_clindx,"New or unknown treatment history cases: Pulmonary, clinically diagnosed",EN,TB
WSH_5,"Water, sanitation and hygiene attributable DALYs ('000)",EN,WSH
WSH_6,"Water, sanitation and hygiene attributable DALYs ('000) in children under 5 years",EN,WSH
WSH_7,"Water, sanitation and hygiene attributable DALYs per 100'000 capita",EN,WSH
TB_ret_rel_ep,Relapse cases: extrapulmonary,EN,TB
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),EN,TB
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,EN,W26
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),EN,WSH
WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),EN,WSH
W19_colours_numbers_A,Cigarette packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,EN,W19
W3_pc_front_A,Percentage of principal display area mandated to be covered by health warnings - front of cigarette packaging,EN,W3
W2_pc_front_back_C,Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging,EN,W2
W21_emissions_A,Cigarette packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,EN,W21
W22_emissions_qual_A,Cigarette packaging and labelling must display qualitative information on relevant constituents and emissions,EN,W22
W6_font_B,"Does the law mandate font style, font size and colour of health warnings on other smoked tobacco packaging?",EN,W6
W8_princ_langs_C,Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?,EN,W8
W23_emissions_front_back_A,Cigarette packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,EN,W23
W23_emissions_front_back_B,Other smoked tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,EN,W23
